"date","ID","GDP_gap"
"BE-2004-04-01","2004-04-01","BE",2056494.70933349
"BE-2004-07-01","2004-07-01","BE",1871280.29630476
"BE-2004-10-01","2004-10-01","BE",1670695.55767739
"BE-2005-01-01","2005-01-01","BE",1456541.9614315
"BE-2005-04-01","2005-04-01","BE",1228021.46764734
"BE-2005-07-01","2005-07-01","BE",983737.476731767
"BE-2005-10-01","2005-10-01","BE",725145.926962432
"BE-2006-01-01","2006-01-01","BE",450004.367233487
"BE-2006-04-01","2006-04-01","BE",157462.873363693
"BE-2006-07-01","2006-07-01","BE",-150284.36568391
"BE-2006-10-01","2006-10-01","BE",-474616.7827514
"BE-2007-01-01","2007-01-01","BE",-815894.637358724
"BE-2007-04-01","2007-04-01","BE",-1178979.79049012
"BE-2007-07-01","2007-07-01","BE",-1559871.49871216
"BE-2007-10-01","2007-10-01","BE",-1961478.27834066
"BE-2008-01-01","2008-01-01","BE",-2382871.24109775
"BE-2008-04-01","2008-04-01","BE",-2825957.32998307
"BE-2008-07-01","2008-07-01","BE",-3292221.08799004
"BE-2008-10-01","2008-10-01","BE",-3785467.61113539
"BE-2009-01-01","2009-01-01","BE",-4296041.17444396
"BE-2009-04-01","2009-04-01","BE",-4825167.31270298
"BE-2009-07-01","2009-07-01","BE",-5372621.8619282
"BE-2009-10-01","2009-10-01","BE",-5944653.2048707
"BE-2010-01-01","2010-01-01","BE",-6541082.32961153
"BE-2010-04-01","2010-04-01","BE",-7159610.83906586
"BE-2010-07-01","2010-07-01","BE",-7804326.79181395
"BE-2010-10-01","2010-10-01","BE",-8473221.02587641
"BE-2011-01-01","2011-01-01","BE",-9167034.95685069
"BE-2011-04-01","2011-04-01","BE",-9886998.21610353
"BE-2011-07-01","2011-07-01","BE",-10632116.3196451
"BE-2011-10-01","2011-10-01","BE",-11402913.1353644
"BE-2012-01-01","2012-01-01","BE",-12199934.2879775
"BE-2012-04-01","2012-04-01","BE",-13023905.1163255
"BE-2012-07-01","2012-07-01","BE",-13873293.2339626
"BE-2012-10-01","2012-10-01","BE",-14750233.3429817
"BE-2013-01-01","2013-01-01","BE",-15654613.1097188
"BE-2013-04-01","2013-04-01","BE",-16582457.2565311
"BE-2013-07-01","2013-07-01","BE",-17538002.1426303
"BE-2013-10-01","2013-10-01","BE",-18520575.4956231
"BE-2014-01-01","2014-01-01","BE",-19528985.2634553
"BE-2014-04-01","2014-04-01","BE",-20564554.9596229
"BE-2014-07-01","2014-07-01","BE",-21624907.9639922
"BE-2014-10-01","2014-10-01","BE",-22712081.8506577
"BE-2015-01-01","2015-01-01","BE",-23825204.5235291
"BE-2015-04-01","2015-04-01","BE",-24963369.4157397
"BE-2015-07-01","2015-07-01","BE",-26128644.4808356
"BE-2015-10-01","2015-10-01","BE",-27317874.3475422
"BE-2016-01-01","2016-01-01","BE",-28532370.8568932
"BE-2016-04-01","2016-04-01","BE",-29768726.0376493
"BE-2016-07-01","2016-07-01","BE",-31029911.7331364
"BE-2016-10-01","2016-10-01","BE",-32312448.5841719
"BE-2017-01-01","2017-01-01","BE",-33615586.9275826
"BE-2017-04-01","2017-04-01","BE",-34941303.5898964
"BE-2017-07-01","2017-07-01","BE",-36287616.9531271
"BE-2017-10-01","2017-10-01","BE",-37649970.5438182
"BE-2018-01-01","2018-01-01","BE",-39032391.8221875
"BE-2018-04-01","2018-04-01","BE",-40430979.7929316
"BE-2018-07-01","2018-07-01","BE",-41845152.9418555
"BE-2018-10-01","2018-10-01","BE",-43270424.9183174
"BE-2019-01-01","2019-01-01","BE",-44710953.7763019
"BE-2019-04-01","2019-04-01","BE",-46160787.329523
"BE-2019-07-01","2019-07-01","BE",-47619085.7407808
"CL-1999-01-01","1999-01-01","CL",20342503.9348289
"CL-1999-04-01","1999-04-01","CL",19061999.5764076
"CL-1999-07-01","1999-07-01","CL",19340238.8664317
"CL-1999-10-01","1999-10-01","CL",19468915.4741454
"CL-2000-01-01","2000-01-01","CL",18265293.752198
"CL-2000-04-01","2000-04-01","CL",16779109.0547973
"CL-2000-07-01","2000-07-01","CL",16417637.5169656
"CL-2000-10-01","2000-10-01","CL",15889261.8588565
"CL-2001-01-01","2001-01-01","CL",15286384.3877916
"CL-2001-04-01","2001-04-01","CL",14444841.8921143
"CL-2001-07-01","2001-07-01","CL",12523871.9628491
"CL-2001-10-01","2001-10-01","CL",11817299.2817446
"CL-2002-01-01","2002-01-01","CL",11117163.3381789
"CL-2002-04-01","2002-04-01","CL",9532135.01420105
"CL-2002-07-01","2002-07-01","CL",8659312.32122821
"CL-2002-10-01","2002-10-01","CL",8919548.86765743
"CL-2003-01-01","2003-01-01","CL",8338484.99876622
"CL-2003-04-01","2003-04-01","CL",7697146.76428994
"CL-2003-07-01","2003-07-01","CL",6934667.31611552
"CL-2003-10-01","2003-10-01","CL",6302320.04226273
"CL-2004-01-01","2004-01-01","CL",7088464.96527549
"CL-2004-04-01","2004-04-01","CL",7714647.92426705
"CL-2004-07-01","2004-07-01","CL",8962583.75053003
"CL-2004-10-01","2004-10-01","CL",9050465.51610576
"CL-2005-01-01","2005-01-01","CL",7879030.30572779
"CL-2005-04-01","2005-04-01","CL",8239088.62253302
"CL-2005-07-01","2005-07-01","CL",9301561.64972286
"CL-2005-10-01","2005-10-01","CL",9570575.43613773
"CL-2006-01-01","2006-01-01","CL",9376585.93348751
"CL-2006-04-01","2006-04-01","CL",10401825.8282333
"CL-2006-07-01","2006-07-01","CL",10752217.2100755
"CL-2006-10-01","2006-10-01","CL",11884032.7491256
"CL-2007-01-01","2007-01-01","CL",12001098.4011489
"CL-2007-04-01","2007-04-01","CL",12147426.345959
"CL-2007-07-01","2007-07-01","CL",11528885.077656
"CL-2007-10-01","2007-10-01","CL",12535662.9601796
"CL-2008-01-01","2008-01-01","CL",14405483.4706476
"CL-2008-04-01","2008-04-01","CL",13969341.8857903
"CL-2008-07-01","2008-07-01","CL",12423564.3521999
"CL-2008-10-01","2008-10-01","CL",10949618.6587698
"CL-2009-01-01","2009-01-01","CL",9332965.43827746
"CL-2009-04-01","2009-04-01","CL",8376818.55744158
"CL-2009-07-01","2009-07-01","CL",9211587.29030285
"CL-2009-10-01","2009-10-01","CL",10169260.459338
"CL-2010-01-01","2010-01-01","CL",10050904.1160258
"CL-2010-04-01","2010-04-01","CL",13608468.452291
"CL-2010-07-01","2010-07-01","CL",16066116.4922174
"CL-2010-10-01","2010-10-01","CL",17300625.4764739
"CL-2011-01-01","2011-01-01","CL",18509643.2724909
"CL-2011-04-01","2011-04-01","CL",20152178.3796168
"CL-2011-07-01","2011-07-01","CL",20666740.9302579
"CL-2011-10-01","2011-10-01","CL",23030090.9192272
"CL-2012-01-01","2012-01-01","CL",25159299.6096151
"CL-2012-04-01","2012-04-01","CL",27132063.5114884
"CL-2012-07-01","2012-07-01","CL",28107251.3658146
"CL-2012-10-01","2012-10-01","CL",29443318.9674572
"CL-2013-01-01","2013-01-01","CL",31119870.7928153
"CL-2013-04-01","2013-04-01","CL",33437475.865407
"CL-2013-07-01","2013-07-01","CL",34986420.9333842
"CL-2013-10-01","2013-10-01","CL",36011519.7390143
"CL-2014-01-01","2014-01-01","CL",36546015.2948857
"CL-2014-04-01","2014-04-01","CL",37732319.4833996
"CL-2014-07-01","2014-07-01","CL",38432716.3747483
"CL-2014-10-01","2014-10-01","CL",40814103.7144756
"CL-2015-01-01","2015-01-01","CL",41770300.9137302
"CL-2015-04-01","2015-04-01","CL",44132175.767445
"CL-2015-07-01","2015-07-01","CL",44805630.2105222
"CL-2015-10-01","2015-10-01","CL",47172957.0976284
"CL-2016-01-01","2016-01-01","CL",48920256.5347106
"CL-2016-04-01","2016-04-01","CL",49457823.273493
"CL-2016-07-01","2016-07-01","CL",51261134.2980701
"CL-2016-10-01","2016-10-01","CL",52591718.79403
"CL-2017-01-01","2017-01-01","CL",52733861.4561304
"CL-2017-04-01","2017-04-01","CL",55087642.9743163
"CL-2017-07-01","2017-07-01","CL",59331510.9950432
"CL-2017-10-01","2017-10-01","CL",61851706.7363457
"CL-2018-01-01","2018-01-01","CL",64986608.8100447
"CL-2018-04-01","2018-04-01","CL",67226948.2269156
"CL-2018-07-01","2018-07-01","CL",68568042.4586666
"CL-2018-10-01","2018-10-01","CL",72035599.0934302
"CL-2019-01-01","2019-01-01","CL",73450053.5227533
"CL-2019-04-01","2019-04-01","CL",75936349.0158328
"CL-2019-07-01","2019-07-01","CL",78531919.3545271
"CZ-1999-01-01","1999-01-01","CZ",-65677968.9546915
"CZ-1999-04-01","1999-04-01","CZ",-64112895.1303988
"CZ-1999-07-01","1999-07-01","CZ",-62526577.2630049
"CZ-1999-10-01","1999-10-01","CZ",-60930679.7638104
"CZ-2000-01-01","2000-01-01","CZ",-59321562.7276804
"CZ-2000-04-01","2000-04-01","CZ",-57703769.9227753
"CZ-2000-07-01","2000-07-01","CZ",-56086608.8133509
"CZ-2000-10-01","2000-10-01","CZ",-54492430.6042376
"CZ-2001-01-01","2001-01-01","CZ",-52895166.2837433
"CZ-2001-04-01","2001-04-01","CZ",-51314930.6091022
"CZ-2001-07-01","2001-07-01","CZ",-49743994.0996272
"CZ-2001-10-01","2001-10-01","CZ",-48180562.987311
"CZ-2002-01-01","2002-01-01","CZ",-46639843.1441557
"CZ-2002-04-01","2002-04-01","CZ",-45108107.9907613
"CZ-2002-07-01","2002-07-01","CZ",-43575606.3481153
"CZ-2002-10-01","2002-10-01","CZ",-42062050.2669408
"CZ-2003-01-01","2003-01-01","CZ",-40554774.8589379
"CZ-2003-04-01","2003-04-01","CZ",-39076458.0806848
"CZ-2003-07-01","2003-07-01","CZ",-37607772.5018229
"CZ-2003-10-01","2003-10-01","CZ",-36162473.0008436
"CZ-2004-01-01","2004-01-01","CZ",-34737824.4368141
"CZ-2004-04-01","2004-04-01","CZ",-33343165.2626154
"CZ-2004-07-01","2004-07-01","CZ",-31947659.0865685
"CZ-2004-10-01","2004-10-01","CZ",-30569290.1590854
"CZ-2005-01-01","2005-01-01","CZ",-29222578.8614232
"CZ-2005-04-01","2005-04-01","CZ",-27904817.15161
"CZ-2005-07-01","2005-07-01","CZ",-26617031.9312339
"CZ-2005-10-01","2005-10-01","CZ",-25351484.3398501
"CZ-2006-01-01","2006-01-01","CZ",-24088132.9744065
"CZ-2006-04-01","2006-04-01","CZ",-22867837.0531677
"CZ-2006-07-01","2006-07-01","CZ",-21695219.5740538
"CZ-2006-10-01","2006-10-01","CZ",-20544570.3653895
"CZ-2007-01-01","2007-01-01","CZ",-19410485.0174626
"CZ-2007-04-01","2007-04-01","CZ",-18336335.7591152
"CZ-2007-07-01","2007-07-01","CZ",-17263994.2929876
"CZ-2007-10-01","2007-10-01","CZ",-16228162.480882
"CZ-2008-01-01","2008-01-01","CZ",-15262087.0246203
"CZ-2008-04-01","2008-04-01","CZ",-14300734.0556156
"CZ-2008-07-01","2008-07-01","CZ",-13389495.5500509
"CZ-2008-10-01","2008-10-01","CZ",-12586255.7322893
"CZ-2009-01-01","2009-01-01","CZ",-11882433.3529483
"CZ-2009-04-01","2009-04-01","CZ",-11096351.6969976
"CZ-2009-07-01","2009-07-01","CZ",-10287844.3433496
"CZ-2009-10-01","2009-10-01","CZ",-9516497.13001389
"CZ-2010-01-01","2010-01-01","CZ",-8751194.17539099
"CZ-2010-04-01","2010-04-01","CZ",-8001923.80663502
"CZ-2010-07-01","2010-07-01","CZ",-7296520.47294076
"CZ-2010-10-01","2010-10-01","CZ",-6616830.61866643
"CZ-2011-01-01","2011-01-01","CZ",-5953254.44688206
"CZ-2011-04-01","2011-04-01","CZ",-5336259.61857324
"CZ-2011-07-01","2011-07-01","CZ",-4756622.91159388
"CZ-2011-10-01","2011-10-01","CZ",-4187267.76315598
"CZ-2012-01-01","2012-01-01","CZ",-3653921.71890271
"CZ-2012-04-01","2012-04-01","CZ",-3159041.85631516
"CZ-2012-07-01","2012-07-01","CZ",-2686256.11806492
"CZ-2012-10-01","2012-10-01","CZ",-2226460.54921788
"CZ-2013-01-01","2013-01-01","CZ",-1793868.47920105
"CZ-2013-04-01","2013-04-01","CZ",-1357959.67129234
"CZ-2013-07-01","2013-07-01","CZ",-936085.404100595
"CZ-2013-10-01","2013-10-01","CZ",-494641.561336175
"CZ-2014-01-01","2014-01-01","CZ",-129069.686488947
"CZ-2014-04-01","2014-04-01","CZ",260789.913554618
"CZ-2014-07-01","2014-07-01","CZ",647225.254576188
"CZ-2014-10-01","2014-10-01","CZ",1018039.70039036
"CZ-2015-01-01","2015-01-01","CZ",1384654.99673839
"CZ-2015-04-01","2015-04-01","CZ",1730614.34427145
"CZ-2015-07-01","2015-07-01","CZ",2045177.48199651
"CZ-2015-10-01","2015-10-01","CZ",2324403.82238783
"CZ-2016-01-01","2016-01-01","CZ",2573703.66497416
"CZ-2016-04-01","2016-04-01","CZ",2811509.49828007
"CZ-2016-07-01","2016-07-01","CZ",3040403.37656406
"CZ-2016-10-01","2016-10-01","CZ",3265168.32531634
"CZ-2017-01-01","2017-01-01","CZ",3509695.76901771
"CZ-2017-04-01","2017-04-01","CZ",3789224.96922314
"CZ-2017-07-01","2017-07-01","CZ",3969254.41325075
"CZ-2017-10-01","2017-10-01","CZ",4144417.11535837
"CZ-2018-01-01","2018-01-01","CZ",4306916.16666372
"CZ-2018-04-01","2018-04-01","CZ",4460372.29724971
"CZ-2018-07-01","2018-07-01","CZ",4600523.46990487
"CZ-2018-10-01","2018-10-01","CZ",4746572.49648444
"CZ-2019-01-01","2019-01-01","CZ",4869274.68753711
"CZ-2019-04-01","2019-04-01","CZ",4989857.48718042
"CZ-2019-07-01","2019-07-01","CZ",5080501.8023435
"DE-1999-01-01","1999-01-01","DE",2535472.51911004
"DE-1999-04-01","1999-04-01","DE",2595370.11543325
"DE-1999-07-01","1999-07-01","DE",2673003.45050462
"DE-1999-10-01","1999-10-01","DE",2735727.73292508
"DE-2000-01-01","2000-01-01","DE",2806095.77120958
"DE-2000-04-01","2000-04-01","DE",2856479.35241432
"DE-2000-07-01","2000-07-01","DE",2880066.56913785
"DE-2000-10-01","2000-10-01","DE",2890863.87058123
"DE-2001-01-01","2001-01-01","DE",2950876.41146747
"DE-2001-04-01","2001-04-01","DE",2957118.87405305
"DE-2001-07-01","2001-07-01","DE",2954251.9800616
"DE-2001-10-01","2001-10-01","DE",2948705.54323534
"DE-2002-01-01","2002-01-01","DE",2928663.64402398
"DE-2002-04-01","2002-04-01","DE",2926954.29125179
"DE-2002-07-01","2002-07-01","DE",2923082.88008899
"DE-2002-10-01","2002-10-01","DE",2898852.54814126
"DE-2003-01-01","2003-01-01","DE",2839693.01687521
"DE-2003-04-01","2003-04-01","DE",2815158.75049154
"DE-2003-07-01","2003-07-01","DE",2803398.11582362
"DE-2003-10-01","2003-10-01","DE",2776682.85992004
"DE-2004-01-01","2004-01-01","DE",2736905.2858081
"DE-2004-04-01","2004-04-01","DE",2710546.55855769
"DE-2004-07-01","2004-07-01","DE",2665106.63399058
"DE-2004-10-01","2004-10-01","DE",2620066.18497417
"DE-2005-01-01","2005-01-01","DE",2575123.97060618
"DE-2005-04-01","2005-04-01","DE",2542061.34747556
"DE-2005-07-01","2005-07-01","DE",2513856.09326344
"DE-2005-10-01","2005-10-01","DE",2475862.63836392
"DE-2006-01-01","2006-01-01","DE",2448647.8006454
"DE-2006-04-01","2006-04-01","DE",2439635.39676952
"DE-2006-07-01","2006-07-01","DE",2405930.49583154
"DE-2006-10-01","2006-10-01","DE",2391001.51915864
"DE-2007-01-01","2007-01-01","DE",2338175.93086421
"DE-2007-04-01","2007-04-01","DE",2305024.41722679
"DE-2007-07-01","2007-07-01","DE",2263093.901379
"DE-2007-10-01","2007-10-01","DE",2224523.63599046
"DE-2008-01-01","2008-01-01","DE",2186145.55956701
"DE-2008-04-01","2008-04-01","DE",2123889.00497941
"DE-2008-07-01","2008-07-01","DE",2051904.01163052
"DE-2008-10-01","2008-10-01","DE",1954915.63182168
"DE-2009-01-01","2009-01-01","DE",1779839.99525713
"DE-2009-04-01","2009-04-01","DE",1728434.16413614
"DE-2009-07-01","2009-07-01","DE",1688068.22858201
"DE-2009-10-01","2009-10-01","DE",1652672.82509649
"DE-2010-01-01","2010-01-01","DE",1619319.53871504
"DE-2010-04-01","2010-04-01","DE",1622598.22637866
"DE-2010-07-01","2010-07-01","DE",1591929.21127074
"DE-2010-10-01","2010-10-01","DE",1562035.93642617
"DE-2011-01-01","2011-01-01","DE",1561767.17620178
"DE-2011-04-01","2011-04-01","DE",1514871.31491749
"DE-2011-07-01","2011-07-01","DE",1489321.09333409
"DE-2011-10-01","2011-10-01","DE",1434572.29213518
"DE-2012-01-01","2012-01-01","DE",1393434.84334249
"DE-2012-04-01","2012-04-01","DE",1352532.14673285
"DE-2012-07-01","2012-07-01","DE",1316093.34385666
"DE-2012-10-01","2012-10-01","DE",1261791.4334046
"DE-2013-01-01","2013-01-01","DE",1207265.46262476
"DE-2013-04-01","2013-04-01","DE",1194469.72384158
"DE-2013-07-01","2013-07-01","DE",1169481.75466587
"DE-2013-10-01","2013-10-01","DE",1140428.89252878
"DE-2014-01-01","2014-01-01","DE",1129689.9495841
"DE-2014-04-01","2014-04-01","DE",1093117.1630501
"DE-2014-07-01","2014-07-01","DE",1072090.94879481
"DE-2014-10-01","2014-10-01","DE",1062707.49739688
"DE-2015-01-01","2015-01-01","DE",1025283.48093165
"DE-2015-04-01","2015-04-01","DE",1012091.62873456
"DE-2015-07-01","2015-07-01","DE",995462.064101503
"DE-2015-10-01","2015-10-01","DE",979866.286176639
"DE-2016-01-01","2016-01-01","DE",975643.14562851
"DE-2016-04-01","2016-04-01","DE",966575.027377985
"DE-2016-07-01","2016-07-01","DE",948460.991219508
"DE-2016-10-01","2016-10-01","DE",936104.775033073
"DE-2017-01-01","2017-01-01","DE",948780.0486585
"DE-2017-04-01","2017-04-01","DE",944823.975711824
"DE-2017-07-01","2017-07-01","DE",951051.992603789
"DE-2017-10-01","2017-10-01","DE",954865.890359633
"DE-2018-01-01","2018-01-01","DE",942268.209481699
"DE-2018-04-01","2018-04-01","DE",938389.882953743
"DE-2018-07-01","2018-07-01","DE",921122.107872543
"DE-2018-10-01","2018-10-01","DE",914194.427179609
"DE-2019-01-01","2019-01-01","DE",916177.380599993
"DE-2019-04-01","2019-04-01","DE",897967.582516594
"DE-2019-07-01","2019-07-01","DE",890554.557805854
"DK-1999-01-01","1999-01-01","DK",-510215.909981935
"DK-1999-04-01","1999-04-01","DK",-509974.969084669
"DK-1999-07-01","1999-07-01","DK",-507159.165401481
"DK-1999-10-01","1999-10-01","DK",-490794.771300534
"DK-2000-01-01","2000-01-01","DK",-480242.791252249
"DK-2000-04-01","2000-04-01","DK",-466047.002739788
"DK-2000-07-01","2000-07-01","DK",-465333.982639413
"DK-2000-10-01","2000-10-01","DK",-452105.142709843
"DK-2001-01-01","2001-01-01","DK",-473040.731375113
"DK-2001-04-01","2001-04-01","DK",-466711.866795958
"DK-2001-07-01","2001-07-01","DK",-452812.484531887
"DK-2001-10-01","2001-10-01","DK",-456815.353362026
"DK-2002-01-01","2002-01-01","DK",-457464.110034834
"DK-2002-04-01","2002-04-01","DK",-457173.249260109
"DK-2002-07-01","2002-07-01","DK",-450428.122087555
"DK-2002-10-01","2002-10-01","DK",-454588.936633581
"DK-2003-01-01","2003-01-01","DK",-443558.774944267
"DK-2003-04-01","2003-04-01","DK",-457055.582593443
"DK-2003-07-01","2003-07-01","DK",-448452.196258154
"DK-2003-10-01","2003-10-01","DK",-413640.309976199
"DK-2004-01-01","2004-01-01","DK",-401726.496655101
"DK-2004-04-01","2004-04-01","DK",-387428.295101495
"DK-2004-07-01","2004-07-01","DK",-379002.239805982
"DK-2004-10-01","2004-10-01","DK",-355431.896688106
"DK-2005-01-01","2005-01-01","DK",-356887.884162029
"DK-2005-04-01","2005-04-01","DK",-316891.932062026
"DK-2005-07-01","2005-07-01","DK",-309316.878002892
"DK-2005-10-01","2005-10-01","DK",-297618.767369318
"DK-2006-01-01","2006-01-01","DK",-268796.872253904
"DK-2006-04-01","2006-04-01","DK",-207869.720702411
"DK-2006-07-01","2006-07-01","DK",-213791.168768341
"DK-2006-10-01","2006-10-01","DK",-211978.552830851
"DK-2007-01-01","2007-01-01","DK",-198684.674791252
"DK-2007-04-01","2007-04-01","DK",-199729.806604546
"DK-2007-07-01","2007-07-01","DK",-174665.723513942
"DK-2007-10-01","2007-10-01","DK",-147975.701438133
"DK-2008-01-01","2008-01-01","DK",-140798.57963153
"DK-2008-04-01","2008-04-01","DK",-150152.827409374
"DK-2008-07-01","2008-07-01","DK",-152788.562090234
"DK-2008-10-01","2008-10-01","DK",-188419.525610789
"DK-2009-01-01","2009-01-01","DK",-205699.077936242
"DK-2009-04-01","2009-04-01","DK",-231700.107983011
"DK-2009-07-01","2009-07-01","DK",-216530.990419824
"DK-2009-10-01","2009-10-01","DK",-205691.520665096
"DK-2010-01-01","2010-01-01","DK",-180984.952809808
"DK-2010-04-01","2010-04-01","DK",-159206.026716197
"DK-2010-07-01","2010-07-01","DK",-120945.029784014
"DK-2010-10-01","2010-10-01","DK",-115191.851397969
"DK-2011-01-01","2011-01-01","DK",-101192.078580175
"DK-2011-04-01","2011-04-01","DK",-72679.0103732242
"DK-2011-07-01","2011-07-01","DK",-85329.6928394116
"DK-2011-10-01","2011-10-01","DK",-59936.9903434535
"DK-2012-01-01","2012-01-01","DK",-50585.553926021
"DK-2012-04-01","2012-04-01","DK",-38419.8847850939
"DK-2012-07-01","2012-07-01","DK",-25760.3576549513
"DK-2012-10-01","2012-10-01","DK",-17655.2512200828
"DK-2013-01-01","2013-01-01","DK",3939.22023595223
"DK-2013-04-01","2013-04-01","DK",16690.8865676078
